variable,display_name,group,analysis_level,definition,formula,numerator,denominator,unit,token_rule,sentence_rule,method,preprocessing,missing_rule,zero_rule,conditional_sample,source_columns,source_dataset,source_scripts,validation_rule,interpretation,limitation,aliases
ai_sentence_count,AI 직접 문장 수,AI Communication,Firm-year and AI direct sentences,기존 AI matcher가 추출한 비중복 AI 관련 문장의 firm-year별 개수이다. 전체 표본 평균은 미공시 firm-year의 0을 포함한다.,AI Sentence Countᵢₜ = Σₛ 1(sentence s contains a non-overlapping AI match),Count of matched AI direct sentences,해당 없음,Sentences,Existing AI dictionary and word-boundary matcher,Existing sentence segmentation; each qualifying sentence counted once regardless of multiple matches.,scripts/run_language_full_sample.py,Cleaned analysis text; overlapping term matches are resolved by existing matcher.,Source missing remains missing.,No qualifying sentence = 0.,All firm-year observations,ai_sentence_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/language_measurement_common.py|scripts/run_language_full_sample.py,Non-negative integer; sum agrees with AI sentence detail files where available.,"Textual AI communication intensity, not adoption.","Counts depend on dictionary coverage, sentence extraction and reporting style.",log1p_ai_sentence_count|ai_sentence_count_lag1|ai_sentence_count_change
ai_sentence_ratio,AI 문장 비율,AI Communication,Firm-year,AI 직접 문장 수를 전체 유효 분석 문장 수로 나눈 비율이다.,AI Sentence Ratioᵢₜ = AI Direct Sentence Countᵢₜ / Total Eligible Sentence Countᵢₜ,ai_sentence_count,total_analysis_sentence_count,Proportion,Not applicable beyond source sentence count,Eligible analysis sentences from existing extraction pipeline,Existing full-sample language pipeline,No remeasurement; source ratio copied,Missing when source denominator is unavailable.,Zero AI sentences yield zero when denominator is positive.,All firm-year observations,ai_sentence_ratio|ai_sentence_count|total_analysis_sentence_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/run_language_full_sample.py,"Non-negative and within [0, 1] when non-missing.",Relative AI sentence intensity.,Sensitive to section extraction and total sentence denominator.,
ai_detection_status,Ai Detection Status,Source / Derived,Firm-year,ai_detection_status is retained from the validated extended panel without remeasurement.,ai_detection_status = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_detection_status,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_uncertainty_count,Ai Uncertainty Count,Source / Derived,Firm-year,ai_uncertainty_count is retained from the validated extended panel without remeasurement.,ai_uncertainty_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_uncertainty_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_uncertainty_ratio,Ai Uncertainty Ratio,Source / Derived,Firm-year,ai_uncertainty_ratio is retained from the validated extended panel without remeasurement.,ai_uncertainty_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_uncertainty_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_litigious_count,Ai Litigious Count,Source / Derived,Firm-year,ai_litigious_count is retained from the validated extended panel without remeasurement.,ai_litigious_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_litigious_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_litigious_ratio,Ai Litigious Ratio,Source / Derived,Firm-year,ai_litigious_ratio is retained from the validated extended panel without remeasurement.,ai_litigious_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_litigious_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_weak_modal_count,Ai Weak Modal Count,Source / Derived,Firm-year,ai_weak_modal_count is retained from the validated extended panel without remeasurement.,ai_weak_modal_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_weak_modal_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_weak_modal_ratio,Ai Weak Modal Ratio,Source / Derived,Firm-year,ai_weak_modal_ratio is retained from the validated extended panel without remeasurement.,ai_weak_modal_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_weak_modal_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_strong_modal_count,Ai Strong Modal Count,Source / Derived,Firm-year,ai_strong_modal_count is retained from the validated extended panel without remeasurement.,ai_strong_modal_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_strong_modal_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_strong_modal_ratio,Ai Strong Modal Ratio,Source / Derived,Firm-year,ai_strong_modal_ratio is retained from the validated extended panel without remeasurement.,ai_strong_modal_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_strong_modal_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_constraining_count,Ai Constraining Count,Source / Derived,Firm-year,ai_constraining_count is retained from the validated extended panel without remeasurement.,ai_constraining_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_constraining_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_constraining_ratio,Ai Constraining Ratio,Source / Derived,Firm-year,ai_constraining_ratio is retained from the validated extended panel without remeasurement.,ai_constraining_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_constraining_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_total_eligible_word_count,Ai Total Eligible Word Count,Source / Derived,Firm-year,ai_total_eligible_word_count is retained from the validated extended panel without remeasurement.,ai_total_eligible_word_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_total_eligible_word_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
uncertainty_status,Uncertainty Status,Source / Derived,Firm-year,uncertainty_status is retained from the validated extended panel without remeasurement.,uncertainty_status = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,uncertainty_status,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_positive_count,Ai Positive Count,Source / Derived,Firm-year,ai_positive_count is retained from the validated extended panel without remeasurement.,ai_positive_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_positive_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_negative_count,Ai Negative Count,Source / Derived,Firm-year,ai_negative_count is retained from the validated extended panel without remeasurement.,ai_negative_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_negative_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_positive_ratio,Ai Positive Ratio,Source / Derived,Firm-year,ai_positive_ratio is retained from the validated extended panel without remeasurement.,ai_positive_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_positive_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_negative_ratio,Ai Negative Ratio,Source / Derived,Firm-year,ai_negative_ratio is retained from the validated extended panel without remeasurement.,ai_negative_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_negative_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_net_tone,Ai Net Tone,Source / Derived,Firm-year,ai_net_tone is retained from the validated extended panel without remeasurement.,ai_net_tone = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_net_tone,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_sentiment_word_coverage,Ai Sentiment Word Coverage,Source / Derived,Firm-year,ai_sentiment_word_coverage is retained from the validated extended panel without remeasurement.,ai_sentiment_word_coverage = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_sentiment_word_coverage,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_net_tone_by_words,Ai Net Tone By Words,Source / Derived,Firm-year,ai_net_tone_by_words is retained from the validated extended panel without remeasurement.,ai_net_tone_by_words = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_net_tone_by_words,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_total_lm_matched_word_count,Ai Total Lm Matched Word Count,Source / Derived,Firm-year,ai_total_lm_matched_word_count is retained from the validated extended panel without remeasurement.,ai_total_lm_matched_word_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_total_lm_matched_word_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
sentiment_status,Sentiment Status,Source / Derived,Firm-year,sentiment_status is retained from the validated extended panel without remeasurement.,sentiment_status = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,sentiment_status,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_concreteness_mean,Ai Concreteness Mean,Source / Derived,Firm-year,ai_concreteness_mean is retained from the validated extended panel without remeasurement.,ai_concreteness_mean = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_concreteness_mean,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_concreteness_median,Ai Concreteness Median,Source / Derived,Firm-year,ai_concreteness_median is retained from the validated extended panel without remeasurement.,ai_concreteness_median = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_concreteness_median,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_concreteness_standard_deviation,Ai Concreteness Standard Deviation,Source / Derived,Firm-year,ai_concreteness_standard_deviation is retained from the validated extended panel without remeasurement.,ai_concreteness_standard_deviation = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_concreteness_standard_deviation,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
